CID,#PrimaryAssays,AssayPromiscuity_Primary,APP %,TargetPromiscuity_Primary,TPP %,#ConfirmatoryAssays,AssayPromiscuity_Confirmatory,APC %,TargetPromiscuity_Confirmatory,TPC %,PhenolCount,[ PercentRanks (PR's) follow ]  ------>,PR APP,PR TPP,PR APC,PR TPC
6173840,385,1,0.30%,1,0.30%,102,2,2.00%,2,2.00%,0,,34.4%,40.9%,68.5%,70.5%
6175808,456,14,3.10%,8,1.80%,105,5,4.80%,3,2.90%,0,,86.8%,86.1%,82.9%,76.8%
6181972,419,2,0.50%,2,0.50%,104,2,1.90%,2,1.90%,0,,47.3%,56.4%,66.4%,68.0%
6211246,236,7,3.00%,5,2.10%,65,4,6.20%,4,6.20%,0,,86.3%,88.4%,86.2%,88.5%
6211262,449,20,4.50%,10,2.20%,95,5,5.30%,5,5.30%,0,,91.9%,89.5%,84.3%,86.5%
6214002,341,10,2.90%,6,1.80%,87,5,5.70%,3,3.40%,0,,85.7%,86.1%,85.1%,79.4%
6235447,436,5,1.10%,3,0.70%,104,1,1.00%,1,1.00%,0,,66.2%,66.9%,55.5%,56.1%
6235472,430,1,0.20%,1,0.20%,102,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
6240980,340,1,0.30%,1,0.30%,84,1,1.20%,1,1.20%,0,,34.4%,40.9%,59.1%,60.1%
6257227,350,4,1.10%,3,0.90%,107,0,0.00%,0,0.00%,0,,66.2%,72.2%,0.0%,0.0%
6258018,459,8,1.70%,5,1.10%,99,2,2.00%,1,1.00%,0,,76.6%,76.9%,68.5%,56.1%
6261578,427,6,1.40%,5,1.20%,99,0,0.00%,0,0.00%,0,,72.0%,78.8%,0.0%,0.0%
6264408,422,10,2.40%,4,0.90%,102,7,6.90%,5,4.90%,0,,82.7%,72.2%,87.6%,85.3%
6284152,442,5,1.10%,3,0.70%,107,1,0.90%,1,0.90%,0,,66.2%,66.9%,51.8%,52.1%
6310903,378,7,1.90%,2,0.50%,100,7,7.00%,7,7.00%,0,,78.8%,56.4%,87.8%,89.8%
6324617,338,0,0.00%,0,0.00%,87,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6364669,502,52,10.40%,27,5.40%,110,9,8.20%,8,7.30%,0,,97.3%,96.5%,89.7%,90.4%
6368659,257,13,5.10%,8,3.10%,50,8,16.00%,8,16.00%,0,,93.3%,93.3%,96.2%,97.5%
6383377,350,2,0.60%,2,0.60%,90,0,0.00%,0,0.00%,0,,52.6%,62.4%,0.0%,0.0%
6420080,297,4,1.30%,1,0.30%,72,0,0.00%,0,0.00%,0,,70.6%,40.9%,0.0%,0.0%
6427274,340,0,0.00%,0,0.00%,87,1,1.10%,1,1.10%,0,,0.0%,0.0%,57.9%,58.9%
6436246,443,3,0.70%,3,0.70%,105,2,1.90%,2,1.90%,0,,56.1%,66.9%,66.4%,68.0%
6439446,369,0,0.00%,0,0.00%,96,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6441458,449,19,4.20%,10,2.20%,106,1,0.90%,1,0.90%,0,,91.2%,89.5%,51.8%,52.1%
6450230,285,2,0.70%,2,0.70%,74,0,0.00%,0,0.00%,0,,56.1%,66.9%,0.0%,0.0%
6450453,453,18,4.00%,10,2.20%,89,1,1.10%,1,1.10%,0,,90.6%,89.5%,57.9%,58.9%
6451074,437,21,4.80%,14,3.20%,104,9,8.70%,9,8.70%,0,,92.7%,93.6%,90.5%,92.4%
6459458,345,2,0.60%,1,0.30%,91,0,0.00%,0,0.00%,0,,52.6%,40.9%,0.0%,0.0%
6459959,342,3,0.90%,2,0.60%,86,1,1.20%,1,1.20%,0,,61.3%,62.4%,59.1%,60.1%
6464027,337,0,0.00%,0,0.00%,86,3,3.50%,3,3.50%,0,,0.0%,0.0%,77.2%,79.9%
6471996,340,1,0.30%,0,0.00%,87,3,3.40%,3,3.40%,0,,34.4%,0.0%,76.9%,79.4%
6472335,337,0,0.00%,0,0.00%,87,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6473162,347,1,0.30%,1,0.30%,87,0,0.00%,0,0.00%,0,,34.4%,40.9%,0.0%,0.0%
6475119,166,2,1.20%,2,1.20%,48,1,2.10%,1,2.10%,0,,68.9%,78.8%,70.1%,72.2%
6478368,374,7,1.90%,3,0.80%,96,4,4.20%,2,2.10%,0,,78.8%,70.1%,80.7%,72.2%
6504702,338,2,0.60%,0,0.00%,83,1,1.20%,1,1.20%,0,,52.6%,0.0%,59.1%,60.1%
6523576,461,9,2.00%,4,0.90%,98,1,1.00%,1,1.00%,0,,79.5%,72.2%,55.5%,56.1%
6529487,452,15,3.30%,8,1.80%,99,8,8.10%,8,8.10%,0,,87.8%,86.1%,89.5%,91.6%
6533934,313,8,2.60%,5,1.60%,50,2,4.00%,2,4.00%,0,,84.0%,84.0%,80.0%,82.5%
6540161,230,1,0.40%,1,0.40%,87,1,1.10%,1,1.10%,0,,40.7%,48.4%,57.9%,58.9%
6540162,231,0,0.00%,0,0.00%,84,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6540163,230,2,0.90%,1,0.40%,83,0,0.00%,0,0.00%,0,,61.3%,48.4%,0.0%,0.0%
6540165,230,0,0.00%,0,0.00%,83,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6540166,230,0,0.00%,0,0.00%,86,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6540169,230,1,0.40%,1,0.40%,85,1,1.20%,1,1.20%,0,,40.7%,48.4%,59.1%,60.1%
6540170,233,2,0.90%,2,0.90%,83,1,1.20%,1,1.20%,0,,61.3%,72.2%,59.1%,60.1%
6540171,231,5,2.20%,3,1.30%,84,2,2.40%,1,1.20%,0,,81.2%,80.4%,71.5%,60.1%
6540173,232,2,0.90%,1,0.40%,84,2,2.40%,1,1.20%,0,,61.3%,48.4%,71.5%,60.1%
6540174,230,0,0.00%,0,0.00%,83,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6540175,230,1,0.40%,1,0.40%,82,4,4.90%,3,3.70%,0,,40.7%,48.4%,83.2%,80.7%
6540177,231,2,0.90%,1,0.40%,74,0,0.00%,0,0.00%,0,,61.3%,48.4%,0.0%,0.0%
6540180,234,2,0.90%,1,0.40%,78,2,2.60%,2,2.60%,0,,61.3%,48.4%,72.9%,75.2%
6540181,230,7,3.00%,3,1.30%,64,7,10.90%,3,4.70%,0,,86.3%,80.4%,92.8%,84.7%
6540182,174,6,3.40%,3,1.70%,81,5,6.20%,3,3.70%,0,,88.1%,85.1%,86.2%,80.7%
6540184,230,3,1.30%,1,0.40%,77,3,3.90%,2,2.60%,0,,70.6%,48.4%,79.4%,75.2%
6540185,231,2,0.90%,2,0.90%,83,0,0.00%,0,0.00%,0,,61.3%,72.2%,0.0%,0.0%
6540194,238,9,3.80%,5,2.10%,85,6,7.10%,5,5.90%,0,,90.1%,88.4%,88.0%,87.7%
6540202,224,0,0.00%,0,0.00%,86,2,2.30%,1,1.20%,0,,0.0%,0.0%,71.0%,60.1%
6540206,225,2,0.90%,1,0.40%,83,3,3.60%,2,2.40%,0,,61.3%,48.4%,77.6%,73.9%
6540210,235,4,1.70%,4,1.70%,82,4,4.90%,3,3.70%,0,,76.6%,85.1%,83.2%,80.7%
6540217,230,2,0.90%,2,0.90%,79,2,2.50%,2,2.50%,0,,61.3%,72.2%,72.3%,74.7%
