CID,#PrimaryAssays,AssayPromiscuity_Primary,APP %,TargetPromiscuity_Primary,TPP %,#ConfirmatoryAssays,AssayPromiscuity_Confirmatory,APC %,TargetPromiscuity_Confirmatory,TPC %,PhenolCount,[ PercentRanks (PR's) follow ]  ------>,PR APP,PR TPP,PR APC,PR TPC
15945060,229,39,17.00%,27,11.80%,68,21,30.90%,20,29.40%,15,,99.2%,99.4%,99.4%,99.7%
15944801,388,55,14.20%,38,9.80%,106,27,25.50%,23,21.70%,9,,98.6%,99.0%,98.8%,98.9%
65064,155,14,9.00%,8,5.20%,84,13,15.50%,13,15.50%,8,,96.7%,96.3%,96.0%,97.3%
23641096,145,5,3.40%,4,2.80%,40,3,7.50%,3,7.50%,7,,88.1%,92.3%,88.6%,90.7%
3503,162,33,20.40%,15,9.30%,150,66,44.00%,52,34.70%,6,,99.7%,98.8%,99.9%,99.9%
53277,339,55,16.20%,40,11.80%,93,39,41.90%,35,37.60%,6,,98.9%,99.4%,99.9%,99.9%
160115,389,64,16.50%,49,12.60%,94,36,38.30%,31,33.00%,6,,99.0%,99.6%,99.8%,99.8%
227456,313,57,18.20%,39,12.50%,48,21,43.80%,18,37.50%,6,,99.3%,99.6%,99.9%,99.9%
5281600,452,30,6.60%,19,4.20%,111,14,12.60%,11,9.90%,6,,95.3%,95.2%,94.2%,93.9%
5281609,241,9,3.70%,7,2.90%,65,1,1.50%,1,1.50%,6,,89.6%,92.7%,62.5%,63.9%
10414856,344,26,7.60%,16,4.70%,99,18,18.20%,15,15.20%,6,,96.0%,95.8%,97.1%,97.2%
13941113,201,4,2.00%,3,1.50%,60,2,3.30%,2,3.30%,6,,79.5%,82.6%,76.5%,79.0%
44144307,280,9,3.20%,6,2.10%,70,6,8.60%,5,7.10%,6,,87.1%,88.4%,90.4%,90.0%
96506,365,33,9.00%,24,6.60%,117,36,30.80%,30,25.60%,5,,96.7%,97.6%,99.4%,99.5%
394845,453,11,2.40%,8,1.80%,101,2,2.00%,2,2.00%,5,,82.7%,86.1%,68.5%,70.5%
5281672,340,50,14.70%,33,9.70%,182,60,33.00%,44,24.20%,5,,98.6%,98.9%,99.5%,99.3%
5281673,464,20,4.30%,16,3.40%,103,14,13.60%,12,11.70%,5,,91.4%,94.0%,94.6%,95.2%
5352000,323,9,2.80%,6,1.90%,97,8,8.20%,7,7.20%,5,,85.3%,86.9%,89.7%,90.3%
4534,246,27,11.00%,16,6.50%,102,29,28.40%,24,23.50%,4,,97.6%,97.5%,99.2%,99.1%
4788,383,10,2.60%,6,1.60%,203,20,9.90%,18,8.90%,4,,84.0%,84.0%,92.0%,92.7%
10603,416,43,10.30%,32,7.70%,125,43,34.40%,36,28.80%,4,,97.2%,98.3%,99.6%,99.6%
11095,362,9,2.50%,6,1.70%,123,14,11.40%,13,10.60%,4,,83.2%,85.1%,93.2%,94.5%
72276,345,8,2.30%,6,1.70%,176,10,5.70%,10,5.70%,4,,81.7%,85.1%,85.1%,87.2%
72722,205,26,12.70%,22,10.70%,91,27,29.70%,24,26.40%,4,,98.2%,99.2%,99.3%,99.5%
97762,146,10,6.80%,7,4.80%,50,12,24.00%,11,22.00%,4,,95.5%,95.9%,98.5%,98.9%
107957,364,5,1.40%,4,1.10%,104,7,6.70%,6,5.80%,4,,72.0%,76.9%,87.1%,87.6%
114776,264,6,2.30%,5,1.90%,72,4,5.60%,4,5.60%,4,,81.7%,86.9%,84.9%,87.0%
135728,311,5,1.60%,3,1.00%,56,2,3.60%,2,3.60%,4,,75.5%,74.9%,77.6%,80.3%
161385,310,14,4.50%,9,2.90%,51,3,5.90%,3,5.90%,4,,91.9%,92.7%,85.5%,87.7%
220284,399,43,10.80%,27,6.80%,126,32,25.40%,26,20.60%,4,,97.4%,97.8%,98.8%,98.7%
235240,189,6,3.20%,3,1.60%,57,9,15.80%,6,10.50%,4,,87.1%,84.0%,96.1%,94.4%
238232,187,3,1.60%,1,0.50%,53,0,0.00%,0,0.00%,4,,75.5%,56.4%,0.0%,0.0%
320930,290,23,7.90%,16,5.50%,155,39,25.20%,32,20.60%,4,,96.2%,96.6%,98.7%,98.7%
439533,394,6,1.50%,5,1.30%,89,5,5.60%,5,5.60%,4,,73.6%,80.4%,84.9%,87.0%
442437,277,3,1.10%,3,1.10%,84,3,3.60%,2,2.40%,4,,66.2%,76.9%,77.6%,73.9%
480785,308,5,1.60%,3,1.00%,52,1,1.90%,1,1.90%,4,,75.5%,74.9%,66.4%,68.0%
667639,322,24,7.50%,20,6.20%,130,37,28.50%,31,23.80%,4,,96.0%,97.1%,99.2%,99.2%
712318,213,8,3.80%,6,2.80%,43,4,9.30%,4,9.30%,4,,90.1%,92.3%,91.2%,93.1%
5280445,380,31,8.20%,19,5.00%,127,34,26.80%,29,22.80%,4,,96.4%,96.1%,99.0%,99.0%
5280459,285,9,3.20%,6,2.10%,68,5,7.40%,4,5.90%,4,,87.1%,88.4%,88.4%,87.7%
5280681,354,13,3.70%,10,2.80%,119,22,18.50%,19,16.00%,4,,89.6%,92.3%,97.2%,97.5%
5280804,172,8,4.70%,6,3.50%,48,9,18.80%,8,16.70%,4,,92.4%,94.3%,97.3%,97.7%
5280805,238,9,3.80%,5,2.10%,89,6,6.70%,6,6.70%,4,,90.1%,88.4%,87.1%,89.3%
5280960,352,1,0.30%,1,0.30%,121,1,0.80%,1,0.80%,4,,34.4%,40.9%,49.7%,49.9%
5281670,233,11,4.70%,8,3.40%,142,23,16.20%,21,14.80%,4,,92.4%,94.0%,96.4%,97.0%
5281717,224,8,3.60%,5,2.20%,65,1,1.50%,1,1.50%,4,,89.2%,89.5%,62.5%,63.9%
5281792,82,4,4.90%,3,3.70%,41,13,31.70%,12,29.30%,4,,92.9%,94.5%,99.5%,99.6%
5281800,264,7,2.70%,4,1.50%,62,7,11.30%,5,8.10%,4,,84.8%,82.6%,93.1%,91.6%
5281855,357,55,15.40%,44,12.30%,154,38,24.70%,32,20.80%,4,,98.8%,99.5%,98.6%,98.8%
5282074,434,3,0.70%,3,0.70%,100,2,2.00%,2,2.00%,4,,56.1%,66.9%,68.5%,70.5%
5315615,335,9,2.70%,6,1.80%,119,21,17.60%,18,15.10%,4,,84.8%,86.1%,96.8%,97.1%
5316647,366,11,3.00%,7,1.90%,112,13,11.60%,11,9.80%,4,,86.3%,86.9%,93.4%,93.7%
5317284,371,25,6.70%,14,3.80%,98,26,26.50%,24,24.50%,4,,95.4%,94.7%,98.9%,99.3%
5358385,321,17,5.30%,10,3.10%,115,16,13.90%,12,10.40%,4,,93.7%,93.3%,94.9%,94.3%
5378597,451,16,3.50%,14,3.10%,117,12,10.30%,9,7.70%,4,,88.6%,93.3%,92.3%,91.0%
5473310,245,15,6.10%,10,4.10%,66,13,19.70%,11,16.70%,4,,94.7%,95.1%,97.6%,97.7%
6426860,441,10,2.30%,6,1.40%,104,13,12.50%,10,9.60%,4,,81.7%,81.7%,94.1%,93.5%
10255083,265,9,3.40%,6,2.30%,87,9,10.30%,8,9.20%,4,,88.1%,90.1%,92.3%,93.0%
10298511,381,43,11.30%,20,5.20%,88,12,13.60%,12,13.60%,4,,97.7%,96.3%,94.6%,96.4%
12004528,277,7,2.50%,5,1.80%,107,20,18.70%,18,16.80%,4,,83.2%,86.1%,97.2%,97.8%
12004585,454,13,2.90%,8,1.80%,107,10,9.30%,9,8.40%,4,,85.7%,86.1%,91.2%,92.0%
12309904,354,35,9.90%,23,6.50%,107,27,25.20%,21,19.60%,4,,97.1%,97.5%,98.7%,98.4%
14412270,269,29,10.80%,17,6.30%,52,12,23.10%,11,21.20%,4,,97.4%,97.2%,98.3%,98.8%
16196968,427,17,4.00%,12,2.80%,100,24,24.00%,21,21.00%,4,,90.6%,92.3%,98.5%,98.8%
16212154,362,41,11.30%,27,7.50%,79,17,21.50%,13,16.50%,4,,97.7%,98.1%,98.1%,97.6%
16219923,195,1,0.50%,1,0.50%,52,3,5.80%,2,3.80%,4,,47.3%,56.4%,85.4%,81.2%
16745399,335,1,0.30%,1,0.30%,95,7,7.40%,6,6.30%,4,,34.4%,40.9%,88.4%,88.6%
16745525,250,12,4.80%,8,3.20%,90,4,4.40%,3,3.30%,4,,92.7%,93.6%,81.8%,79.0%
24871278,297,5,1.70%,3,1.00%,77,4,5.20%,4,5.20%,4,,76.6%,74.9%,84.2%,86.3%
44143715,201,38,18.90%,28,13.90%,55,20,36.40%,18,32.70%,4,,99.4%,99.7%,99.7%,99.8%
44144273,204,5,2.50%,5,2.50%,64,5,7.80%,5,7.80%,4,,83.2%,91.3%,89.0%,91.2%
44144321,280,7,2.50%,5,1.80%,78,7,9.00%,6,7.70%,4,,83.2%,86.1%,90.9%,91.0%
45479757,199,5,2.50%,4,2.00%,54,3,5.60%,2,3.70%,4,,83.2%,87.6%,84.9%,80.7%
932,485,3,0.60%,3,0.60%,128,1,0.80%,1,0.80%,3,,52.6%,62.4%,49.7%,49.9%
1057,107,11,10.30%,6,5.60%,98,13,13.30%,11,11.20%,3,,97.2%,96.7%,94.5%,95.0%
3220,345,19,5.50%,12,3.50%,182,31,17.00%,25,13.70%,3,,94.0%,94.3%,96.7%,96.5%
3593,209,6,2.90%,4,1.90%,90,1,1.10%,1,1.10%,3,,85.7%,86.9%,57.9%,58.9%
3951,426,8,1.90%,5,1.20%,93,3,3.20%,3,3.20%,3,,78.8%,78.8%,76.1%,78.6%
4871,202,8,4.00%,6,3.00%,85,16,18.80%,13,15.30%,3,,90.6%,93.0%,97.3%,97.2%
5213,538,5,0.90%,3,0.60%,126,5,4.00%,4,3.20%,3,,61.3%,62.4%,80.0%,78.6%
6683,276,38,13.80%,28,10.10%,122,24,19.70%,22,18.00%,3,,98.5%,99.1%,97.6%,98.2%
7428,444,10,2.30%,7,1.60%,106,7,6.60%,7,6.60%,3,,81.7%,84.0%,87.0%,89.2%
10187,388,16,4.10%,12,3.10%,131,4,3.10%,4,3.10%,3,,90.9%,93.3%,75.7%,78.2%
16547,314,17,5.40%,10,3.20%,105,7,6.70%,7,6.70%,3,,93.8%,93.6%,87.1%,89.3%
31553,364,6,1.60%,3,0.80%,152,3,2.00%,3,2.00%,3,,75.5%,70.1%,68.5%,70.5%
70837,198,11,5.60%,9,4.50%,94,10,10.60%,9,9.60%,3,,94.1%,95.5%,92.6%,93.5%
72281,309,2,0.60%,1,0.30%,115,5,4.30%,5,4.30%,3,,52.6%,40.9%,81.2%,83.6%
72721,486,106,21.80%,79,16.30%,106,29,27.40%,27,25.50%,3,,99.8%,99.9%,99.1%,99.4%
73852,409,4,1.00%,3,0.70%,133,6,4.50%,4,3.00%,3,,64.2%,66.9%,82.1%,77.7%
75583,330,48,14.50%,34,10.30%,56,14,25.00%,10,17.90%,3,,98.6%,99.1%,98.7%,98.1%
99613,332,0,0.00%,0,0.00%,110,2,1.80%,2,1.80%,3,,0.0%,0.0%,64.9%,66.4%
122850,314,3,1.00%,3,1.00%,56,0,0.00%,0,0.00%,3,,64.2%,74.9%,0.0%,0.0%
160505,366,5,1.40%,2,0.50%,93,3,3.20%,3,3.20%,3,,72.0%,56.4%,76.1%,78.6%
162350,249,1,0.40%,1,0.40%,79,0,0.00%,0,0.00%,3,,40.7%,48.4%,0.0%,0.0%
185848,311,9,2.90%,7,2.30%,59,3,5.10%,3,5.10%,3,,85.7%,90.1%,83.9%,86.0%
222515,196,20,10.20%,13,6.60%,82,22,26.80%,18,22.00%,3,,97.2%,97.6%,99.0%,98.9%
235857,200,7,3.50%,5,2.50%,46,7,15.20%,6,13.00%,3,,88.6%,91.3%,95.8%,96.1%
274108,199,37,18.60%,30,15.10%,56,22,39.30%,17,30.40%,3,,99.4%,99.8%,99.8%,99.7%
301798,440,18,4.10%,11,2.50%,108,13,12.00%,10,9.30%,3,,90.9%,91.3%,93.6%,93.1%
361510,451,22,4.90%,15,3.30%,109,18,16.50%,14,12.80%,3,,92.9%,93.9%,96.5%,96.0%
439246,457,4,0.90%,1,0.20%,134,2,1.50%,2,1.50%,3,,61.3%,32.4%,62.5%,63.9%
442664,448,0,0.00%,0,0.00%,107,0,0.00%,0,0.00%,3,,0.0%,0.0%,0.0%,0.0%
445154,604,37,6.10%,18,3.00%,206,39,18.90%,29,14.10%,3,,94.7%,93.0%,97.3%,96.8%
480771,147,7,4.80%,5,3.40%,45,1,2.20%,1,2.20%,3,,92.7%,94.0%,70.7%,72.9%
480783,353,11,3.10%,7,2.00%,88,4,4.50%,4,4.50%,3,,86.8%,87.6%,82.1%,84.3%
509245,318,18,5.70%,8,2.50%,54,2,3.70%,2,3.70%,3,,94.2%,91.3%,78.1%,80.7%
638278,471,10,2.10%,5,1.10%,159,19,11.90%,15,9.40%,3,,80.4%,76.9%,93.6%,93.3%
638296,319,23,7.20%,16,5.00%,52,10,19.20%,6,11.50%,3,,95.8%,96.1%,97.4%,95.1%
643007,444,16,3.60%,9,2.00%,102,8,7.80%,6,5.90%,3,,89.2%,87.6%,89.0%,87.7%
676152,378,3,0.80%,1,0.30%,102,0,0.00%,0,0.00%,3,,59.3%,40.9%,0.0%,0.0%
764011,535,9,1.70%,7,1.30%,115,1,0.90%,1,0.90%,3,,76.6%,80.4%,51.8%,52.1%
804849,492,6,1.20%,4,0.80%,105,0,0.00%,0,0.00%,3,,68.9%,70.1%,0.0%,0.0%
854609,377,20,5.30%,16,4.20%,100,16,16.00%,15,15.00%,3,,93.7%,95.2%,96.2%,97.1%
1226045,392,29,7.40%,15,3.80%,103,2,1.90%,2,1.90%,3,,95.9%,94.7%,66.4%,68.0%
1801510,422,6,1.40%,3,0.70%,95,1,1.10%,1,1.10%,3,,72.0%,66.9%,57.9%,58.9%
2775149,185,0,0.00%,0,0.00%,53,1,1.90%,1,1.90%,3,,0.0%,0.0%,66.4%,68.0%
2930652,338,80,23.70%,59,17.50%,101,39,38.60%,30,29.70%,3,,99.9%,99.9%,99.8%,99.7%
2931388,268,45,16.80%,36,13.40%,105,26,24.80%,26,24.80%,3,,99.1%,99.7%,98.6%,99.4%
2931982,411,63,15.30%,44,10.70%,109,39,35.80%,37,33.90%,3,,98.8%,99.2%,99.6%,99.8%
3110095,347,17,4.90%,10,2.90%,84,3,3.60%,2,2.40%,3,,92.9%,92.7%,77.6%,73.9%
3512637,440,0,0.00%,0,0.00%,104,1,1.00%,1,1.00%,3,,0.0%,0.0%,55.5%,56.1%
3519901,377,17,4.50%,11,2.90%,93,4,4.30%,3,3.20%,3,,91.9%,92.7%,81.2%,78.6%
3550102,372,2,0.50%,2,0.50%,103,5,4.90%,4,3.90%,3,,47.3%,56.4%,83.2%,82.0%
3850181,330,12,3.60%,7,2.10%,71,9,12.70%,6,8.50%,3,,89.2%,88.4%,94.2%,92.1%
4408413,281,14,5.00%,9,3.20%,66,1,1.50%,1,1.50%,3,,93.1%,93.6%,62.5%,63.9%
4475102,442,13,2.90%,7,1.60%,98,12,12.20%,9,9.20%,3,,85.7%,84.0%,93.9%,93.0%
5280443,350,18,5.10%,10,2.90%,188,33,17.60%,27,14.40%,3,,93.3%,92.7%,96.8%,96.9%
5280637,206,14,6.80%,13,6.30%,73,7,9.60%,7,9.60%,3,,95.5%,97.2%,91.6%,93.5%
5280666,332,7,2.10%,4,1.20%,97,4,4.10%,4,4.10%,3,,80.4%,78.8%,80.4%,82.8%
5280862,343,11,3.20%,7,2.00%,107,20,18.70%,15,14.00%,3,,87.1%,87.6%,97.2%,96.7%
5280863,337,15,4.50%,11,3.30%,143,17,11.90%,14,9.80%,3,,91.9%,93.9%,93.6%,93.7%
5280961,394,20,5.10%,9,2.30%,218,33,15.10%,24,11.00%,3,,93.3%,90.1%,95.7%,94.7%
5281295,345,21,6.10%,13,3.80%,105,24,22.90%,23,21.90%,3,,94.7%,94.7%,98.3%,98.9%
5281571,426,82,19.20%,59,13.80%,152,62,40.80%,50,32.90%,3,,99.5%,99.7%,99.9%,99.8%
5281605,272,31,11.40%,18,6.60%,102,30,29.40%,24,23.50%,3,,97.8%,97.6%,99.3%,99.1%
5281623,243,4,1.60%,4,1.60%,62,0,0.00%,0,0.00%,3,,75.5%,84.0%,0.0%,0.0%
5281628,392,19,4.80%,9,2.30%,98,5,5.10%,5,5.10%,3,,92.7%,90.1%,83.9%,86.0%
5281671,162,4,2.50%,4,2.50%,47,3,6.40%,2,4.30%,3,,83.2%,91.3%,86.6%,83.6%
5282102,218,4,1.80%,3,1.40%,80,4,5.00%,3,3.80%,3,,77.7%,81.7%,83.5%,81.2%
5315773,190,4,2.10%,3,1.60%,46,3,6.50%,2,4.30%,3,,80.4%,84.0%,86.9%,83.6%
5316250,146,7,4.80%,5,3.40%,49,4,8.20%,4,8.20%,3,,92.7%,94.0%,89.7%,91.7%
5318585,317,14,4.40%,10,3.20%,56,3,5.40%,3,5.40%,3,,91.7%,93.6%,84.5%,86.7%
5318767,318,2,0.60%,2,0.60%,78,1,1.30%,1,1.30%,3,,52.6%,62.4%,60.6%,61.8%
5319925,143,2,1.40%,2,1.40%,49,4,8.20%,3,6.10%,3,,72.0%,81.7%,89.7%,88.3%
5321948,249,15,6.00%,8,3.20%,55,4,7.30%,3,5.50%,3,,94.6%,93.6%,88.3%,86.8%
5481948,309,3,1.00%,2,0.60%,53,1,1.90%,1,1.90%,3,,64.2%,62.4%,66.4%,68.0%
5481968,310,0,0.00%,0,0.00%,49,3,6.10%,2,4.10%,3,,0.0%,0.0%,86.0%,82.8%
5481982,265,7,2.60%,3,1.10%,56,1,1.80%,1,1.80%,3,,84.0%,76.9%,64.9%,66.4%
5495919,274,19,6.90%,16,5.80%,50,3,6.00%,3,6.00%,3,,95.6%,96.9%,85.7%,88.0%
5709318,404,41,10.10%,21,5.20%,88,13,14.80%,12,13.60%,3,,97.2%,96.3%,95.4%,96.4%
6713958,307,0,0.00%,0,0.00%,71,1,1.40%,1,1.40%,3,,0.0%,0.0%,61.6%,62.9%
6918469,373,12,3.20%,9,2.40%,99,20,20.20%,16,16.20%,3,,87.1%,90.8%,97.7%,97.6%
9911508,282,4,1.40%,4,1.40%,79,5,6.30%,4,5.10%,3,,72.0%,81.7%,86.4%,86.0%
10040569,274,18,6.60%,8,2.90%,68,4,5.90%,3,4.40%,3,,95.3%,92.7%,85.5%,84.0%
10409180,246,11,4.50%,7,2.80%,60,5,8.30%,5,8.30%,3,,91.9%,92.3%,90.0%,91.9%
10450920,392,35,8.90%,21,5.40%,105,10,9.50%,9,8.60%,3,,96.6%,96.5%,91.5%,92.3%
10461109,206,8,3.90%,5,2.40%,72,6,8.30%,5,6.90%,3,,90.5%,90.8%,90.0%,89.6%
10560368,316,2,0.60%,2,0.60%,99,11,11.10%,9,9.10%,3,,52.6%,62.4%,92.9%,93.0%
10852019,139,2,1.40%,2,1.40%,47,2,4.30%,2,4.30%,3,,72.0%,81.7%,81.2%,83.6%
11211194,148,6,4.10%,5,3.40%,48,6,12.50%,5,10.40%,3,,90.9%,94.0%,94.1%,94.3%
11726019,442,19,4.30%,12,2.70%,107,20,18.70%,17,15.90%,3,,91.4%,92.0%,97.2%,97.4%
12313332,446,9,2.00%,7,1.60%,103,10,9.70%,8,7.80%,3,,79.5%,84.0%,91.7%,91.2%
13647412,341,12,3.50%,7,2.10%,101,7,6.90%,7,6.90%,3,,88.6%,88.4%,87.6%,89.6%
13964059,141,3,2.10%,3,2.10%,48,1,2.10%,1,2.10%,3,,80.4%,88.4%,70.1%,72.2%
16196974,455,26,5.70%,18,4.00%,107,13,12.10%,9,8.40%,3,,94.2%,94.9%,93.8%,92.0%
16211710,212,4,1.90%,4,1.90%,69,2,2.90%,2,2.90%,3,,78.8%,86.9%,74.5%,76.8%
16681742,369,1,0.30%,1,0.30%,98,0,0.00%,0,0.00%,3,,34.4%,40.9%,0.0%,0.0%
21722030,262,1,0.40%,1,0.40%,71,2,2.80%,1,1.40%,3,,40.7%,48.4%,73.7%,62.9%
23641074,313,10,3.20%,7,2.20%,53,1,1.90%,1,1.90%,3,,87.1%,89.5%,66.4%,68.0%
23723040,259,0,0.00%,0,0.00%,54,0,0.00%,0,0.00%,3,,0.0%,0.0%,0.0%,0.0%
24856303,338,2,0.60%,1,0.30%,88,0,0.00%,0,0.00%,3,,52.6%,40.9%,0.0%,0.0%
24978604,317,0,0.00%,0,0.00%,78,0,0.00%,0,0.00%,3,,0.0%,0.0%,0.0%,0.0%
44143716,136,2,1.50%,2,1.50%,48,4,8.30%,4,8.30%,3,,73.6%,82.6%,90.0%,91.9%
44143977,260,3,1.20%,3,1.20%,70,3,4.30%,2,2.90%,3,,68.9%,78.8%,81.2%,76.8%
44144326,260,3,1.20%,3,1.20%,71,3,4.20%,2,2.80%,3,,68.9%,78.8%,80.7%,76.1%
44202883,260,2,0.80%,2,0.80%,66,0,0.00%,0,0.00%,3,,59.3%,70.1%,0.0%,0.0%
45479871,195,16,8.20%,12,6.20%,55,13,23.60%,9,16.40%,3,,96.4%,97.1%,98.4%,97.6%
56642882,281,1,0.40%,1,0.40%,74,1,1.40%,1,1.40%,3,,40.7%,48.4%,61.6%,62.9%
19,317,0,0.00%,0,0.00%,52,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
72,383,5,1.30%,4,1.00%,133,3,2.30%,3,2.30%,2,,70.6%,74.9%,71.0%,73.4%
289,299,2,0.70%,1,0.30%,196,31,15.80%,27,13.80%,2,,56.1%,40.9%,96.1%,96.6%
547,370,2,0.50%,2,0.50%,171,10,5.80%,9,5.30%,2,,47.3%,56.4%,85.4%,86.5%
785,117,2,1.70%,2,1.70%,141,19,13.50%,19,13.50%,2,,76.6%,85.1%,94.6%,96.4%
1491,270,2,0.70%,1,0.40%,158,0,0.00%,0,0.00%,2,,56.1%,48.4%,0.0%,0.0%
1889,306,1,0.30%,1,0.30%,58,0,0.00%,0,0.00%,2,,34.4%,40.9%,0.0%,0.0%
2202,303,21,6.90%,13,4.30%,171,3,1.80%,3,1.80%,2,,95.6%,95.3%,64.9%,66.4%
2259,84,17,20.20%,16,19.00%,128,45,35.20%,34,26.60%,2,,99.6%,100.0%,99.6%,99.5%
2374,144,16,11.10%,10,6.90%,69,11,15.90%,10,14.50%,2,,97.6%,97.8%,96.2%,97.0%
2950,289,11,3.80%,7,2.40%,132,4,3.00%,4,3.00%,2,,90.1%,90.8%,75.2%,77.7%
3469,197,1,0.50%,1,0.50%,52,0,0.00%,0,0.00%,2,,47.3%,56.4%,0.0%,0.0%
3606,305,1,0.30%,1,0.30%,100,0,0.00%,0,0.00%,2,,34.4%,40.9%,0.0%,0.0%
3610,136,9,6.60%,4,2.90%,125,14,11.20%,10,8.00%,2,,95.3%,92.7%,93.0%,91.4%
4764,579,4,0.70%,1,0.20%,183,17,9.30%,13,7.10%,2,,56.1%,32.4%,91.2%,90.0%
5100,304,28,9.20%,18,5.90%,108,17,15.70%,13,12.00%,2,,96.8%,97.0%,96.1%,95.4%
6293,214,15,7.00%,11,5.10%,115,12,10.40%,11,9.60%,2,,95.7%,96.2%,92.4%,93.5%
6623,344,4,1.20%,2,0.60%,160,13,8.10%,9,5.60%,2,,68.9%,62.4%,89.5%,87.0%
7213,328,0,0.00%,0,0.00%,88,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
7381,274,6,2.20%,4,1.50%,139,21,15.10%,18,12.90%,2,,81.2%,82.6%,95.7%,96.1%
8569,314,2,0.60%,1,0.30%,155,3,1.90%,3,1.90%,2,,52.6%,40.9%,66.4%,68.0%
8570,517,6,1.20%,2,0.40%,134,4,3.00%,3,2.20%,2,,68.9%,48.4%,75.2%,72.9%
8572,430,28,6.50%,20,4.70%,130,14,10.80%,12,9.20%,2,,95.2%,95.8%,92.7%,93.0%
8768,483,4,0.80%,3,0.60%,109,3,2.80%,3,2.80%,2,,59.3%,62.4%,73.7%,76.1%
10168,545,34,6.20%,27,5.00%,164,27,16.50%,23,14.00%,2,,94.9%,96.1%,96.5%,96.7%
10207,151,12,7.90%,8,5.30%,112,3,2.70%,3,2.70%,2,,96.2%,96.4%,73.2%,75.6%
10208,202,0,0.00%,0,0.00%,139,7,5.00%,6,4.30%,2,,0.0%,0.0%,83.5%,83.6%
10621,357,3,0.80%,2,0.60%,98,2,2.00%,2,2.00%,2,,59.3%,62.4%,68.5%,70.5%
10829,366,12,3.30%,7,1.90%,100,1,1.00%,1,1.00%,2,,87.8%,86.9%,55.5%,56.1%
21632,387,4,1.00%,3,0.80%,101,3,3.00%,3,3.00%,2,,64.2%,70.1%,75.2%,77.7%
25075,324,3,0.90%,1,0.30%,76,2,2.60%,1,1.30%,2,,61.3%,40.9%,72.9%,61.8%
31316,435,35,8.00%,21,4.80%,126,16,12.70%,14,11.10%,2,,96.3%,95.9%,94.2%,94.9%
65751,198,13,6.60%,9,4.50%,90,17,18.90%,14,15.60%,2,,95.3%,95.5%,97.3%,97.4%
66065,342,0,0.00%,0,0.00%,86,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
66494,345,1,0.30%,0,0.00%,170,1,0.60%,1,0.60%,2,,34.4%,0.0%,49.2%,49.2%
67174,274,2,0.70%,1,0.40%,166,2,1.20%,1,0.60%,2,,56.1%,48.4%,59.1%,49.2%
68071,329,0,0.00%,0,0.00%,57,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
68995,453,6,1.30%,4,0.90%,96,2,2.10%,2,2.10%,2,,70.6%,72.2%,70.1%,72.2%
72300,451,20,4.40%,12,2.70%,104,7,6.70%,5,4.80%,2,,91.7%,92.0%,87.1%,85.0%
72303,443,15,3.40%,9,2.00%,99,8,8.10%,8,8.10%,2,,88.1%,87.6%,89.5%,91.6%
75653,201,2,1.00%,1,0.50%,93,1,1.10%,1,1.10%,2,,64.2%,56.4%,57.9%,58.9%
76596,432,6,1.40%,3,0.70%,106,1,0.90%,1,0.90%,2,,72.0%,66.9%,51.8%,52.1%
76658,310,0,0.00%,0,0.00%,95,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
78103,304,2,0.70%,2,0.70%,53,0,0.00%,0,0.00%,2,,56.1%,66.9%,0.0%,0.0%
78435,313,0,0.00%,0,0.00%,82,1,1.20%,1,1.20%,2,,0.0%,0.0%,59.1%,60.1%
80458,198,1,0.50%,1,0.50%,54,7,13.00%,4,7.40%,2,,47.3%,56.4%,94.4%,90.6%
91440,87,13,14.90%,10,11.50%,60,21,35.00%,21,35.00%,2,,98.7%,99.3%,99.6%,99.9%
95168,442,19,4.30%,12,2.70%,102,9,8.80%,9,8.80%,2,,91.4%,92.0%,90.7%,92.6%
98059,199,9,4.50%,5,2.50%,41,5,12.20%,5,12.20%,2,,91.9%,91.3%,93.9%,95.5%
99927,205,27,13.20%,15,7.30%,56,12,21.40%,8,14.30%,2,,98.4%,98.0%,98.0%,96.9%
99938,373,4,1.10%,4,1.10%,105,6,5.70%,3,2.90%,2,,66.2%,76.9%,85.1%,76.8%
108003,554,3,0.50%,1,0.20%,125,2,1.60%,2,1.60%,2,,47.3%,32.4%,63.2%,64.6%
114429,370,22,5.90%,10,2.70%,96,3,3.10%,2,2.10%,2,,94.5%,92.0%,75.7%,72.2%
124052,312,12,3.80%,7,2.20%,51,3,5.90%,3,5.90%,2,,90.1%,89.5%,85.5%,87.7%
125322,197,33,16.80%,26,13.20%,54,20,37.00%,15,27.80%,2,,99.1%,99.6%,99.7%,99.6%
138005,192,1,0.50%,0,0.00%,53,0,0.00%,0,0.00%,2,,47.3%,0.0%,0.0%,0.0%
146694,284,3,1.10%,3,1.10%,75,1,1.30%,1,1.30%,2,,66.2%,76.9%,60.6%,61.8%
167666,321,12,3.70%,8,2.50%,47,0,0.00%,0,0.00%,2,,89.6%,91.3%,0.0%,0.0%
